Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
2.69,110.0,3.0,2.0,2.0,6.0,4.2,1,0,0.09,25.0
18.0,50.2,4.0,3.0,4.0,4.0,3.2,1,1,0.35,14.0
13.0,50.0,4.0,4.0,6.0,8.0,4.0,1,1,1.7,17.0
2.55,46.0,2.0,2.0,2.0,4.0,3.0,1,1,0.07,7.0
7.0,35.0,3.0,4.0,6.0,4.0,4.0,1,1,0.22,13.0
15.9,65.0,4.0,4.0,6.0,6.0,4.0,1,1,0.99,9.0
12.5,50.0,6.0,4.0,5.0,5.0,4.8,1,0,0.29,13.0
1.05,48.0,3.0,2.0,2.0,5.0,4.0,1,1,0.12,10.0
5.2,35.0,3.0,4.0,5.0,3.0,3.5,1,0,0.24,20.0
8.26,58.8,6.0,4.0,5.0,8.0,6.0,1,0,0.19,10.0
5.6,50.0,3.0,3.0,3.0,5.0,6.0,1,0,0.09,6.0
25.0,95.0,4.0,3.0,4.0,5.0,6.0,1,1,1.41,13.0
13.8,62.0,6.0,4.0,4.0,5.0,3.7,1,1,1.93,11.0
16.0,52.0,5.0,7.0,8.0,6.0,5.8,1,1,0.99,9.0
6.5,64.0,4.0,4.0,4.0,6.0,4.0,1,1,0.19,10.0
5.0,64.0,5.0,5.0,4.0,8.0,4.0,1,1,0.19,10.0
5.58,38.0,4.0,3.0,3.0,3.0,4.0,1,1,1.7,17.0
14.5,84.0,3.0,3.0,2.0,2.5,4.0,1,1,1.3,10.0
8.6,120.0,7.0,5.0,2.0,8.0,4.0,1,1,0.61,12.0
8.5,43.0,6.0,4.0,5.0,2.0,4.0,1,1,1.46,15.0
3.8,30.0,3.0,4.0,5.0,2.5,3.5,1,1,0.24,20.0
5.5,30.0,3.0,4.0,5.0,3.0,3.5,1,1,0.3,15.0
25.6,95.0,3.0,3.0,3.0,4.5,5.6,1,1,1.7,17.0
9.79,32.0,3.0,4.0,4.0,10.0,3.0,1,1,1.93,11.0
11.8,95.0,2.0,2.0,1.0,5.0,4.5,1,1,0.72,15.0
14.0,101.0,4.0,4.0,4.0,8.0,4.0,1,1,0.67,15.0
2.69,62.0,3.0,3.0,3.0,6.0,5.0,1,1,2.24,11.0
6.85,50.0,4.0,5.0,3.0,3.0,3.5,1,0,0.28,10.0
25.0,84.0,6.0,5.0,5.0,5.0,5.0,1,1,1.41,13.0
13.0,60.0,8.0,5.0,6.0,5.0,5.0,1,1,0.35,14.0
