Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,CommuneDensity,Distribute
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,thanh trì,hà nội,275745.0,63.5,16.0,0.25,4.342
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
7.2,40.0,3.0,4.0,4.0,5.0,4.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
6.5,52.8,1.0,1.0,1.0,7.0,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
11.5,48.0,4.0,3.0,4.0,3.0,3.4,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
4.55,100.0,3.0,2.0,2.0,7.5,5.0,yes,yes,ngũ hành sơn,đà nẵng,90352.0,40.2,4.0,0.1,2.248
5.79,44.6,3.0,3.0,2.0,3.5,4.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,0.28,10.088
20.0,80.0,4.0,3.0,4.0,8.0,5.3,yes,yes,đông anh,hà nội,405749.0,185.6,24.0,0.13,2.186
8.95,46.0,4.0,5.0,6.0,2.8,6.2,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
9.0,60.0,4.0,3.0,3.0,6.0,4.8,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
5.85,31.0,3.0,3.0,5.0,6.0,4.0,yes,no,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
7.5,40.0,5.0,4.0,5.0,8.0,3.9,yes,no,thanh trì,hà nội,275745.0,63.5,16.0,0.25,4.342
8.45,83.0,2.0,1.0,1.0,6.0,4.0,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,0.67,21.196
5.8,76.4,2.0,1.0,1.0,2.0,6.0,no,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,0.31,8.364
11.8,48.0,4.0,5.0,5.0,5.0,4.0,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,2.24,33.461
8.2,65.0,4.0,5.0,3.0,5.0,6.2,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,0.67,21.196
13.8,73.0,6.0,7.0,5.0,3.0,4.1,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
6.38,80.0,3.0,4.0,4.0,10.0,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
6.35,100.0,4.0,4.0,2.0,4.0,5.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
7.6,66.0,2.0,3.0,2.0,4.0,3.6,yes,no,phú nhuận,hồ chí minh,163961.0,4.9,11.0,2.24,33.461
3.0,48.85,3.0,2.0,3.0,5.0,4.0,yes,yes,kiến an,hải phòng,118047.0,29.6,7.0,0.24,3.988
12.0,36.0,4.0,5.0,6.0,9.0,4.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,0.65,23.516
